record_id,资源ID,模型ID,鱼种,标准学名,英文名,最喜欢的温度(°C),候选水温带,资料水温下限(°C),资料水温上限(°C),对温度变化的容忍系数,水温接受阈值,FG推荐结构体,环境类型,栖息带类型,时段偏好,period0_3,period3_6,period6_9,period9_12,period12_15,period15_18,period18_21,period21_24,候选水层,表层亲和系数,中层亲和系数,底层亲和系数,深度上限(m),深度下限(m),真饵类型,拟饵类型,候选饵食性,摄食类型
recvppgBfWJcAj,icon_fish_0028_2D,fish_freshwater_drum,淡水石首鱼,Aplodinotus Grunniens,Freshwater Drum,27.4,,21.4,33.4,4.05,0.1,深坑|断层|湾子|泥底|码头|入水口|沙底,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,27,30,昆虫|甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|虾管|米诺|勺子亮片|VIB,温和肉食性,hunting macrofauna (predator)
recvppgBfW0tKq,icon_fish_0061_2D,fish_yaqui_sucker,白亚口鱼,Catostomus Commersonii,Yaqui Sucker,14.65,温水,0,29.3,7.32,0.1,深坑|断层|泥底|碎石底|入水口|沙底,淡水|半咸水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,种子|昆虫|甲壳|鱼饵|面团|谷物,T尾|卷尾|软虫|米诺|VIB,杂食性,hunting macrofauna (predator)
recvppgBfW39bm,icon_fish_0041_2D,fish_redear_sunfish,小冠太阳鱼,Lepomis Microlophus,Redear Sunfish,22,温水,17,27,6,0.1,水草|石头|沉木|湾子|浅滩|芦苇|码头,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,,T尾|卷尾|软虫|米诺|波爬|VIB|铅笔|雷蛙|复合亮片|摇滚饵,温和肉食性,
recvppgBfWgMy7,icon_fish_0003_2D,fish_american_eel,美洲鳗鲡,Anguilla Rostrata,American Eel,14.5,广温,4,25,5.25,0.1,石头|沉木|深坑|湾子|泥底|碎石底|入水口|出水口,淡水|半咸水|海水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,464,0,昆虫|甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|VIB|嘈杂饵,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWvgxs,icon_fish_0008_2D,fish_black_buffalo,黑牛胭脂鱼,Ictiobus Niger,Black Buffalo,22,温水,17,27,6,0.1,深坑|断层|泥底|碎石底|入水口|沙底,淡水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,昆虫|甲壳|鱼饵,T尾|卷尾|软虫|米诺|VIB,温和肉食性,hunting macrofauna (predator)
recvppgBfWRm1c,icon_fish_0005_2D,fish_american_shad,美洲西鲱,Alosa Sapidissima,American Shad,5.6,温水,3.6,7.6,6,0.1,开放水域|深坑|断层|入水口|出水口,淡水|半咸水|海水,pelagic-neritic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,250,0,昆虫|甲壳|饵鱼,T尾|卷尾|软虫|米诺|VIB,滤食性,hunting macrofauna (predator)
recvppgBfWsGwp,icon_placeholder_0001_2D,#N/A,黄旗金枪鱼,Thunnus Albacares,Yellowfin Tuna,23,温水,15,31,4,0.1,开放水域|深坑|断层,半咸水|海水,pelagic-oceanic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,1602,1,甲壳|鱼饵|饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWdmWP,icon_placeholder_0001_2D,#N/A,牛港鲹,Caranx Ignobilis,Giant Trevally,27.5,暖水,26,29,0.75,0.1,开放水域|尖脊|断层|岩架|暗岛,半咸水|海水,reef-associated,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,188,10,甲壳|鱼饵|饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWzovp,icon_placeholder_0001_2D,#N/A,鬼头刀,Coryphaena Hippurus,Mahimahi,25.5,暖水,21,30,2.25,0.1,开放水域|深坑|断层|入水口|出水口,半咸水|海水,pelagic-neritic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,85,0,种子|甲壳|鱼饵|谷物|饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWZQYE,icon_placeholder_0001_2D,#N/A,旗鱼,Istiophorus Platypterus,Sailfish,25.6,暖水,19.6,31.6,6,0.1,开放水域|深坑|断层,海水,pelagic-oceanic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,200,0,甲壳|鱼饵|饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWwgqx,icon_fish_0037_2D,fish_petromyzontidae,西方七鳃鳗,Western Brook Lamprey,Petromyzontidae,10月12日,冷水,0.6,18,3.25,0.1,石头|沉木|深坑|湾子|泥底|碎石底|入水口|出水口,淡水|半咸水|海水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,,10,,,滤食性,hunting macrofauna (predator)
recvppgBfWASPy,icon_fish_0064_2D,fish_northern_snakehead,乌鳢,Channa Argus,Northern Snakehead,13,广温,4,22,4.5,0.1,水草|沉木|湾子|浅滩|浮萍|芦苇,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,饵鱼,T尾|软虫|仿真蛙|米诺|勺子亮片|旋转亮片|VIB|雷蛙|复合亮片,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWfeHA,icon_placeholder_0001_2D,fish_northern_pike00,眼鳢,Channa Marulius,Bullseye Snakehead,26,暖水,24,28,1,0.1,水草|沉木|湾子|浅滩|浮萍|芦苇,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,饵鱼,T尾|软虫|仿真蛙|米诺|勺子亮片|旋转亮片|VIB|雷蛙|复合亮片,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWE1If,icon_fish_0068_2D,fish_white_catfish,白鲶鱼,Ameiurus Catus,White Catfish,22,温水,17,27,6,0.1,水草|沉木|湾子|泥底|浅滩|芦苇,淡水|半咸水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,,,种子|昆虫|鱼饵|谷物|饵鱼,T尾|卷尾|软虫|VIB|嘈杂饵,杂食性,hunting macrofauna (predator)
recvppgBfWRGAb,icon_placeholder_0001_2D,#N/A,大西洋大海鲢,Megalops Atlanticus,Atlantic Tarpon,25,广温,10,40,7.5,0.1,深坑|断层|泥底|沙底,淡水|半咸水|海水,reef-associated,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,40,0,种子|昆虫|甲壳|谷物|饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWzydo,icon_placeholder_0001_2D,fish_northern_pike00,浅滩鲈鱼,Micropterus Cataractae,Shoal Bass,22,温水,17,27,6,0.1,水草|石头|沉木|断层|湾子|碎石底|浅滩|入水口,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,,T尾|卷尾|软虫|米诺|波爬|VIB|铅笔|雷蛙|复合亮片|摇滚饵,凶猛肉食性,
recvppgBfWecOd,icon_placeholder_0001_2D,#N/A,公牛鲨,Carcharhinus Leucas,Bull Shark,27.5,暖水,21.5,33.5,6,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水|海水,reef-associated,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,中下层|底层,1,7,10,164,1,甲壳|鱼饵|肉饵|饵鱼|内脏,T尾|VIB|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWmpBb,icon_fish_0063_2D,fish_midas_cichlid,米达斯慈鲷,Amphilophus Citrinellus,Midas Cichlid,28,暖水,23,33,2.5,0.1,水草|石头|沉木|断层|湾子|浅滩,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,种子|昆虫|鱼饵|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,杂食性,
recvppgBfWESvH,icon_placeholder_0001_2D,fish_northern_pike00,红鲑鱼,Oncorhynchus Nerka,Sockeye Salmon,12.45,,0,24.9,6.22,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水|海水,pelagic-oceanic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中上层|中层,7,10,4,250,0,昆虫|甲壳|饵鱼,米诺|勺子亮片|旋转亮片,滤食性,selective plankton feeding
recvppgBfWATct,icon_placeholder_0001_2D,#N/A,帝王鲑,Oncorhynchus Tshawytscha,Chinook Salmon,12.45,冷水,0,24.9,6.22,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水|海水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,375,0,昆虫|甲壳|鱼饵|饵鱼,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWIkMz,icon_fish_0067_2D,fish_atlantic_salmon,大西洋鲑鱼,Salmo Salar,Atlantic Salmon,5.5,冷水,2,9,1.75,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水|海水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,210,0,昆虫|甲壳|鱼饵|肉饵|饵鱼|内脏,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWEHew,icon_fish_0065_2D,fish_ruffe,梅花鲈,Gymnocephalus Cernua,Ruffe,15,温水,10,20,2.5,0.1,水草|石头|深坑|断层|岩架|湾子|碎石底|暗岛,淡水|半咸水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,表层|中下层|底层,10,7,10,85,2,种子|昆虫|甲壳|鱼饵|鱼卵|谷物|饵鱼,T尾|卷尾|软虫|米诺|勺子亮片|VIB,温和肉食性,variable
recvppgBfWVYbc,icon_placeholder_0001_2D,fish_northern_pike00,银鲑,Oncorhynchus Kisutch,Coho Salmon,12.4,,0,24.8,6.2,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水|海水,pelagic-neritic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中上层|中层,7,10,4,250,0,昆虫|甲壳|饵鱼,米诺|勺子亮片|旋转亮片,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWQu7g,icon_placeholder_0001_2D,#N/A,大马哈鱼,Oncorhynchus Keta,Chum Salmon,11.85,冷水,0,23.7,5.93,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水|海水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,250,0,种子|昆虫|甲壳|鱼饵|鱼卵|谷物|饵鱼,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWSSXi,icon_placeholder_0001_2D,fish_northern_pike00,吉拉鳟鱼,Oncorhynchus Gilae,Gila Trout,15,温水,11,19,8,0.1,石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,,软虫|米诺|勺子亮片|旋转亮片|VIB,温和肉食性,
recvppgBfWsVts,icon_placeholder_0001_2D,fish_northern_pike00,阿帕奇鳟鱼,Oncorhynchus Apache,Apache Trout,15,温水,11,19,8,0.1,石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,,软虫|米诺|勺子亮片|旋转亮片|VIB,温和肉食性,
recvppgBfWSJ8t,icon_placeholder_0001_2D,fish_northern_pike00,粉鲑,Oncorhynchus Gorbuscha,Pink Salmon,3.3,冷水,2.3,4.3,2.62,0.1,开放水域|石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水|半咸水|海水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,250,0,昆虫|甲壳|鱼饵|鱼卵|饵鱼,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWUwLo,icon_placeholder_0001_2D,fish_northern_pike00,江鳕,Lota Lota,Burbot,11,冷水,4,18,3.5,0.1,深坑|断层|湾子|泥底,淡水|半咸水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,700,1,昆虫|甲壳|鱼饵|鱼卵|肉饵|饵鱼|内脏,T尾|卷尾|软虫|VIB|嘈杂饵,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWoPCY,icon_placeholder_0001_2D,fish_northern_pike00,湖白鲑,Coregonus Artedi,Lake Whitefish,13,温水,0,26,6.5,0.1,开放水域|石头|深坑|断层|碎石底|入水口,淡水|半咸水|海水,pelagic-neritic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中上层|中层,7,10,4,64,0,昆虫|甲壳|鱼卵|饵鱼,米诺|勺子亮片|旋转亮片,滤食性,selective plankton feeding
recvppgBfWXHhq,icon_placeholder_0001_2D,fish_northern_pike00,北极茴鱼,Thymallus Arcticus,Arctic Grayling,15,温水,11,19,8,0.1,石头|深坑|断层|碎石底|旋涡|入水口|出水口,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,30,昆虫|甲壳|鱼卵|肉饵|内脏,软虫|米诺|勺子亮片|旋转亮片|VIB,温和肉食性,hunting macrofauna (predator)
recvppgBfWVP7p,icon_placeholder_0001_2D,fish_northern_pike00,阿拉斯加黑鱼,Dallia Pectoralis,Alaska Blackfish,9,冷水,4,14,2.5,0.1,水草|沉木|湾子|泥底|浅滩|浮萍|芦苇,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,昆虫|甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|VIB,杂食性,variable
recvppgBfWSvl3,icon_placeholder_0001_2D,fish_northern_pike00,北极红点鲑,Salvelinus Alpinus,Arctic Char,10,冷水,4,16,3,0.1,开放水域|石头|深坑|断层|碎石底|入水口,淡水|半咸水|海水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,70,0,种子|昆虫|甲壳|鱼饵|鱼卵|谷物|饵鱼,软虫|米诺|勺子亮片|旋转亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWgb7F,icon_fish_0066_2D,fish_mooneye,月眼鱼,Hiodon Tergisus,Mooneye,15,温水,11,19,8,0.1,开放水域,淡水,pelagic,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,中上层|中层,7,10,4,,,昆虫|甲壳|鱼饵|饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWQk9D,icon_placeholder_0001_2D,#N/A,黑斑须雅罗鱼,Semotilus Atromaculatus,Common Creek Chub,15.15,温水,0,30.3,7.57,0.1,开放水域|石头|湾子|碎石底|浅滩|入水口,淡水,demersal,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,种子|昆虫|甲壳|鱼饵|面团|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfW1Luy,icon_placeholder_0001_2D,#N/A,巨骨舌鱼,Arapaima Gigas,Arapaima Gigas,27,暖水,25,29,1,0.1,开放水域|水草|沉木|湾子|浅滩|浮萍|芦苇,淡水,demersal,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,饵鱼,T尾|软虫|米诺|波爬|VIB|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWOU62,icon_placeholder_0001_2D,#N/A,红腹食人鱼,Pygocentrus Nattereri,Red-bellied Piranha,25,暖水,23,27,1,0.1,开放水域|水草|沉木|深坑|断层|湾子|入水口,淡水,pelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,,,种子|昆虫|甲壳|鱼饵|面团|谷物|饵鱼|水果,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWSg8p,icon_placeholder_0001_2D,#N/A,接吻鲷,Helostoma Temminckii,Kissing Prochilodus,25,暖水,22,28,1.5,0.1,开放水域|深坑|湾子|泥底|碎石底|入水口|沙底,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,表层|中下层|底层,10,7,10,,2,种子|昆虫|谷物,,杂食性,
recvppgBfWvmPa,icon_placeholder_0001_2D,#N/A,黑食人鱼,Serrasalmus Rhombeus,Black Piranha,25,暖水,23,27,1,0.1,开放水域|水草|沉木|深坑|断层|湾子|入水口,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,种子|昆虫|甲壳|鱼饵|面团|谷物|饵鱼|水果,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWU8bO,icon_placeholder_0001_2D,#N/A,黑棘鲶,Oxydoras niger,Ripsaw Catfish,24,,18,30,3,0.1,水草|沉木|深坑|湾子|泥底|浅滩|芦苇,,,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,,,腐食性,
recvppgBfWiZzA,icon_placeholder_0001_2D,#N/A,银龙鱼,Osteoglossum Bicirrhosum,Silver Arowana,27,暖水,24,30,1.5,0.1,开放水域|水草|沉木|湾子|浅滩|浮萍|芦苇,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,种子|昆虫|甲壳|鱼饵|谷物|饵鱼,T尾|软虫|米诺|波爬|VIB|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWkV00,icon_placeholder_0001_2D,#N/A,眼斑河魟,Potamotrygon Motoro,Ocellate River Stingray,25,暖水,24,26,0.5,0.1,深坑|湾子|泥底|沙洲|浅滩|沙底,淡水,benthopelagic,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,中下层|底层,1,7,10,,,,,温和肉食性,
recvppgBfW1t3o,icon_placeholder_0001_2D,#N/A,大理石倒立鱼,Abramites Hypselonotus,Marbled Headstander,25,暖水,23,27,1,0.1,开放水域|水草|沉木|湾子|泥底|浅滩|入水口,淡水,pelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中上层|中层,7,10,4,,,种子|昆虫|甲壳|鱼饵|谷物,T尾|卷尾|软虫|米诺|VIB,植食性,hunting macrofauna (predator)
recvppgBfWdgXq,icon_placeholder_0001_2D,#N/A,巴亚拉鱼,Hydrolycus Scomberoides,Payara,26,暖水,24,28,1,0.1,开放水域|水草|沉木|深坑|断层|湾子|入水口,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,饵鱼,T尾|软虫|米诺|波爬|VIB|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfW3j5m,icon_placeholder_0001_2D,#N/A,红钩鱼,Myloplus Rubripinnis,Redhook Myleus,25,暖水,23,27,1,0.1,开放水域|水草|沉木|湾子|泥底|浅滩|入水口,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,种子|面团|谷物|水果,,植食性,other
recvppgBfWI2gI,icon_placeholder_0001_2D,#N/A,银斑鲫,Mylossoma duriventre,Silver Mylossoma,25,,22,28,1.5,0.1,水草|湾子|泥底|浅滩|芦苇|入水口,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,中下层|底层,1,4,10,,,,,植食性,
recvppgBfW0T9j,icon_placeholder_0001_2D,#N/A,红尾鲶鱼,Phractocephalus Hemioliopterus,Redtail Catfish,23,温水,20,26,1.5,0.1,开放水域|沉木|深坑|断层|泥底|入水口,淡水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,,,种子|甲壳|谷物|饵鱼,T尾|卷尾|软虫|VIB|嘈杂饵,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWexpp,icon_placeholder_0001_2D,#N/A,细纹鲶鱼,Trichomycterus striatus,Pencil Catfish,25,,22,28,1.5,0.1,水草|沉木|深坑|湾子|泥底|浅滩|芦苇,,,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,底层,1,4,10,,,,,温和肉食性,
recvppgBfWZ82p,icon_placeholder_0001_2D,#N/A,南美肺鱼,Lepidosiren Paradoxa,South American Lungfish,26,暖水,24,28,1,0.1,水草|沉木|湾子|泥底|浅滩|浮萍|芦苇,淡水,demersal,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,底层,1,4,10,,,种子|昆虫|甲壳|鱼饵|谷物|饵鱼,T尾|卷尾|软虫|米诺|VIB,杂食性,variable
recvppgBfWhk4q,icon_placeholder_0001_2D,#N/A,奥里诺科孔雀鲈,Cichla Orinocensis,Orinoco Peacock Bass,28,暖水,27,29,0.5,0.1,水草|石头|沉木|断层|湾子|浅滩,淡水,benthopelagic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,7,10,,,昆虫|甲壳|饵鱼,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWSY6R,icon_placeholder_0001_2D,#N/A,短扁口鲶,Brachyplatystoma filamentosum,Piraiba,25,,22,28,1.5,0.1,开放水域|沉木|深坑|断层|泥底|入水口,,,早晨活跃,0.3,0.72,1,0.78,0.5,0.55,0.48,0.35,底层,1,4,10,,,,,凶猛肉食性,
recvppgBfWMdML,icon_placeholder_0001_2D,#N/A,电鳗,Electrophorus Electricus,Electric Eel,25.5,暖水,23,28,1.25,0.1,石头|沉木|深坑|湾子|泥底|碎石底|入水口|出水口,淡水,benthopelagic,夜间活跃,1,0.88,0.42,0.3,0.24,0.38,0.72,0.96,中下层|底层,1,7,10,,,昆虫|鱼饵|鱼卵|肉饵|饵鱼|内脏,T尾|卷尾|软虫|米诺|VIB,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWxHaa,icon_placeholder_0001_2D,#N/A,红尾梭鱼,Acestrorhynchus Falcatus,Red Tail Barracuda,26,,20,32,5,0.1,开放水域|水草|沉木|深坑|断层|湾子|入水口,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,饵鱼,T尾|软虫|米诺|波爬|VIB|铅笔|多节鱼,凶猛肉食性,
recvppgBfWn7z0,icon_placeholder_0001_2D,#N/A,巨狼鱼,Hoplias Aimara,Giant Wolf Fish,26,,20,32,5,0.1,开放水域|水草|沉木|深坑|断层|湾子|入水口,淡水,benthopelagic,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,,,昆虫|鱼饵|饵鱼,T尾|软虫|仿真蛙|米诺|勺子亮片|旋转亮片|VIB|雷蛙|复合亮片,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWqiDJ,icon_placeholder_0001_2D,fish_northern_pike00,花羔红点鲑,Salvelinus Malma,Dolly Varden Trout,10,,4,16,3,0.1,石头|深坑|断层|碎石底|旋涡|入水口|出水口,,,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中下层|底层,1,4,10,,,,,凶猛肉食性,
recvppgBfWPNfp,icon_placeholder_0001_2D,#N/A,大眼金枪鱼,Thunnus Obesus,Bigeye Tuna,21,温水,13,29,4,0.1,开放水域|深坑|断层,海水,pelagic-oceanic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,1500,0,甲壳|鱼饵|饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWNMNH,icon_placeholder_0001_2D,#N/A,太平洋蓝鳍金枪鱼,Thunnus Orientalis,Pacific Bluefin Tuna,24.3,,19.3,29.3,6,0.1,开放水域|深坑|断层,半咸水|海水,pelagic-oceanic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,550,1,鱼饵|肉饵,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWX9xq,icon_placeholder_0001_2D,#N/A,康氏马鲛,Scomberomorus Commerson,Narrow Barred Spanish Mackerel,28,,22,34,5,0.1,开放水域|深坑|断层|入水口|出水口,海水,pelagic-neritic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,70,10,甲壳|鱼卵|饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWpZU3,icon_placeholder_0001_2D,#N/A,日本竹荚鱼,Trachurus Japonicus,Japanese Jack Mackerel,13.8,,10.8,16.8,5,0.1,开放水域|深坑|断层|入水口|出水口,海水,pelagic-neritic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,275,0,,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,滤食性,selective plankton feeding
recvppgBfWLxTg,icon_placeholder_0001_2D,#N/A,条纹四鳍旗鱼,Kajikia Audax,Striped Marlin,22.5,温水,20,25,1.25,0.1,开放水域|深坑|断层,海水,pelagic-oceanic,全天活跃,0.72,0.72,0.82,0.82,0.78,0.82,0.84,0.78,中上层|中层,7,10,4,200,0,饵鱼,T尾|米诺|波爬|VIB|水面拖拉机|铅笔|多节鱼,凶猛肉食性,hunting macrofauna (predator)
recvppgBfWzIq1,icon_placeholder_0001_2D,#N/A,蓝笛鲷,Aprion Virescens,Green Jobfish,27.9,暖水,21.9,33.9,5,0.1,开放水域|尖脊|断层|岩架|暗岛,海水,reef-associated,晨昏活跃,0.42,0.72,0.95,0.68,0.46,0.72,0.96,0.62,中下层|底层,1,7,10,180,0,甲壳|饵鱼,T尾|卷尾|软虫|虾管|米诺|勺子亮片|VIB,凶猛肉食性,hunting macrofauna (predator)
