中文名,英文名,标准学名,源记录ID,资料水温下限(°C),资料水温上限(°C),最喜欢的温度(°C),候选水温带,时段偏好,栖息带类型,深度下限(m),深度上限(m),食性（源表候选）,摄食类型,环境类型,AI审核状态,资料复核状态,复核食性类别,复核摄食机制,复核主要食物,复核栖息与空间行为,复核生命周期与繁殖行为,复核事实摘要
白亚口鱼,Yaqui Sucker,Catostomus Commersonii,recvppgBfW0tKq,0,29.3,14.65,温水,早晨活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,需人工确认,,,身份未定，暂不归属。,身份未定，暂不归属。,身份未定，暂不归属。,源学名 Catostomus commersonii 对应 White Sucker；英文 Yaqui Sucker 对应 Catostomus bernardini，存在串种。
小口黑鲈,Smallmouth Bass,Micropterus Dolomieu,recvppgBfWD5uv,8.5,29.5,19,广温,晨昏活跃,benthopelagic,1,7,肉食性,hunting macrofauna (predator),淡水,待人工审核,需补资料,肉食性,Target/Particulate,鱼、螯虾及大型水生昆虫。,清凉水域，岩石/砾石附近；季节移动，不将单一地形视为全部种群栖地。,雄鱼照护繁殖巢与幼鱼；钓放、窝内损失研究显示照护及弃巢变化。,鱼、螯虾及大型水生昆虫。 捕捉离散猎物；也会取食被其他动物扰出的猎物。
丁鱥,Tench,Tinca Tinca,recvppgBfWvTo4,4,24,14,广温,晨昏活跃,demersal,1,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
旗鱼,Sailfish,Istiophorus Platypterus,recvppgBfWZQYE,19.6,31.6,25.6,暖水,全天活跃,pelagic-oceanic,0,200,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
斑点雀鳝,Spotted Gar,Lepisosteus Oculatus,recvppgBfWM50F,12,20,16,温水,晨昏活跃,demersal,0,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
黑斑刺盖太阳鱼,Black Crappie,Pomoxis Nigromaculatus,recvppgBfWzQJ3,14,30.6,22.3,温水,晨昏活跃,benthopelagic,0,,肉食性,hunting macrofauna (predator),淡水,待人工审核,需补资料,肉食性,Target/Particulate,鱼、昆虫与小型甲壳类，食谱随体型/水域变化。,清水、沉木或水生植被附近；一般 crappie 钓法资料支持季节深浅变化。,春季在合适浅区繁殖；本种雄鱼筑巢并护卵至孵化。对钩饵的防御动机仍缺直接区分证据。,幼鱼多取食浮游动物，较大个体增加鱼食；雄鱼筑巢并护卵至孵化（Illinois DNR、USFWS）。护卵事实不证明每次近巢咬饵都是防御。
长背亚口鱼,Blue Sucker,Cycleptus Elongatus,recvppgBfWEP7C,17,27,22,温水,早晨活跃,benthopelagic,,,,,淡水,待人工审核,,,,,,,
臼齿鱼,Hardhead,Mylopharodon Conocephalus,recvppgBfWrOAr,17,27,22,温水,早晨活跃,demersal,,,,,淡水,待人工审核,,,,,,,
小须美鱥,River Chub,Nocomis Micropogon,recvppgBfWLacW,11,19,15,温水,早晨活跃,demersal,,,肉食性,,淡水,待人工审核,,,,,,,
小冠太阳鱼,Redear Sunfish,Lepomis Microlophus,recvppgBfW39bm,17,27,22,温水,晨昏活跃,demersal,,,,,淡水,待人工审核,,,,,,,
灰西鲱,Alewife,Alosa Pseudoharengus,recvppgBfWJr70,2.3,4.3,3.3,温水,全天活跃,pelagic-neritic,5,145,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
水牛鱼,Buffalo,Ictiobus Bubalus,recvppgBfWCS5y,21.1,33.1,27.1,温水,早晨活跃,demersal,4,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
乌鳢,Northern Snakehead,Channa Argus,recvppgBfWASPy,4,22,13,广温,晨昏活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
双点美鱥,Hornyhead Chub,Nocomis Biguttatus,recvppgBfW5dNA,11,19,15,温水,早晨活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
红斑太阳鱼,Redspotted Sunfish,Lepomis Miniatus,recvppgBfW7WZ6,11,19,15,温水,晨昏活跃,demersal,,,,,淡水,待人工审核,,,,,,,
牛港鲹,Giant Trevally,Caranx Ignobilis,recvppgBfWdmWP,26,29,27.5,暖水,全天活跃,reef-associated,10,188,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,,,,,,,
美洲鳗鲡,American Eel,Anguilla Rostrata,recvppgBfWgMy7,4,25,14.5,广温,夜间活跃,demersal,0,464,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,已复核-无问题,肉食性,Target/Particulate,甲壳类、昆虫、蠕虫及鱼等动物。,昼藏夜出；河流、河口等生长地到 Sargasso Sea 繁殖，部分生长史不只发生淡水。,降海繁殖，阶段与通达性重要；本轮不推断银化阶段具体停食阈值。,甲壳类、昆虫、蠕虫及鱼等动物。 夜间寻取动物性食物，不是滤食；生长阶段与繁殖迁移阶段需分开。
岩钝鲈,Rock Bass,Ambloplites Rupestris,recvppgBfWMCzd,10,29.3,19.65,广温,晨昏活跃,benthopelagic,0,21,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
黄旗金枪鱼,Yellowfin Tuna,Thunnus Albacares,recvppgBfWsGwp,15,31,23,温水,全天活跃,pelagic-oceanic,1,1602,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,,,,,,,
虹鳟,Rainbow Trout,Oncorhynchus Mykiss,recvppgBfWfMZm,10,24,17,温水,晨昏活跃,benthopelagic,0,200,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,已修正,肉食性,Target/Particulate,水生/陆生无脊椎、鱼及当地可得的鱼卵、残体等。,留居虹鳟与降海 steelhead 是同种不同生活史。,繁殖回到适宜砾床，可重复繁殖；生活史与地域影响迁移。,水生/陆生无脊椎、鱼及当地可得的鱼卵、残体等。 选择性获取离散食物；Alaska 钓法资料描述随自然水流呈现鱼卵或鱼肉模仿物。
美洲西鲱,American Shad,Alosa Sapidissima,recvppgBfWRm1c,3.6,7.6,5.6,温水,全天活跃,pelagic-neritic,0,250,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
七彩神仙鱼（橙）,Orange Discus,Symphysodon Aequifasciatus（Orange）,recvppgBfXN0xn,26,31,28.5,,早晨活跃,,,,,,,待人工审核,,,,,,,
金红马鱼,Golden Redhorse,Moxostoma Erythrurum,recvppgBfXa0F7,11,19,15,温水,早晨活跃,demersal,,,肉食性,,淡水,待人工审核,,,,,,,
条纹四鳍旗鱼,Striped Marlin,Kajikia Audax,recvppgBfWLxTg,20,25,22.5,温水,全天活跃,pelagic-oceanic,0,200,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
星点东方鲀,Grass Puffer,Takifugu Niphobles,recvppgBfXpJTy,18.6,28.6,23.6,,全天活跃,demersal,,,肉食性,,海水,待人工审核,,,,,,,
小体鲟,Sterlet,Acipenser Ruthenus,recvq6YNcIR5Mz,11,19,15,温水,晨昏活跃,demersal,1,,杂食性,variable,淡水|半咸水,待人工审核,,,,,,,
黑鲷,Blackhead Seabream,Acanthopagrus Schlegelii,recvppgBfXxaUK,18.7,28.7,23.7,,全天活跃,demersal,15,,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,,,,,,,
葛氏鲈塘鳢,Chinese Sleeper,Perccottus Glenii,recvq6YNcIyMiO,15,30,22.5,温水,全天活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
塞凡湖鳟,Sevan Trout,Salmo Ischchan,recvq6YNcI1Fel,11,19,15,冷水,晨昏活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
白北鲑,Whitefish,Stenodus Leucichthys,recvq6YNcInhR0,6,10,8,温水,晨昏活跃,demersal,10,30,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
萨克拉门托大斑狗鱼,Sacramento Pikeminnow,Ptychocheilus Grandis,recvppgBfXlayy,11,19,15,温水,早晨活跃,demersal,,,,,淡水,待人工审核,,,,,,,
东方狐鲣,Striped Bonito,Sarda Orientalis,recvppgBfWEtv1,13.5,23,18.25,温水,全天活跃,pelagic-neritic,1,167,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
棘背钝头鳐,Thorny Skate,Amblyraja Radiata,recvq6YNcIN5vB,-1.3,14,6.35,冷水,夜间活跃,demersal,5,1540,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,,,,,,,
日本鲭,Chub Mackerel,Scomber Japonicus,recvppgBfX8j0e,10,27,18.5,温水,全天活跃,pelagic-neritic,0,300,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
欧白鲑,Vendace,Coregonus Albula,recvq6YNcIh2bC,1.6,3.6,2.6,温水,晨昏活跃,benthopelagic,30,,滤食性,selective plankton feeding,淡水|半咸水|海水,待人工审核,需补资料,肉食性,Target/Particulate|Benthic Foraging,,,,Vendace 是食谱灵活的动物性摄食者；不同季节会在浮游动物与底栖无脊椎动物间显著切换，并可摄食鱼胚。当前没有足够证据把它作为 Filter-feeding 代表。
驼背白鲑,Humpback Whitefish,Coregonus Pidschian,recvq6YNcI6pwQ,1,3,2,冷水,晨昏活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
短扁口鲶,Piraiba,Brachyplatystoma filamentosum,recvppgBfWSY6R,22,28,25,,早晨活跃,,,,,,,待人工审核,,,,,,,
金目丽鱼,Speckled Peacock Bass,Cichla Temensis,recvppgBfXiRAK,27,29,28,暖水,全天活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
常见鮈鱼,Common Gudgeon,Gobio Gobio,recvq6YNcIW2TT,2,18,10,冷水,全天活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
针牙脂鲤,Biara,Rhaphiodon Vulpinus,recvppgBfXIKua,20,32,26,,晨昏活跃,pelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
大西洋牙鲆,Summer Flounder,Paralichthys Dentatus,recvq6YNcIsSNZ,15.1,23.1,19.1,温水,全天活跃,demersal,10,183,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,,,,,,,
大西洋狼鱼,Atlantic Wolffish,Anarhichas Lupus,recvq6YNcI3Rnh,5.8,9.8,7.8,温水,全天活跃,demersal,1,600,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
沙鮻,Northern Whiting,Sillago Sihama,recvppgBfXRJZa,26,29,27.5,暖水,晨昏活跃,reef-associated,0,60,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,,,,,,,
鞍带石斑鱼,Giant Grouper,Epinephelus Lanceolatus,recvppgBfWNVrL,22.1,34.1,28.1,暖水,晨昏活跃,reef-associated,1,200,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,,,,,,,
鳞鲤(人面鲤),Human Face Scale Carp,Cyprinus Carpio Var. Human Face,recvq6YNcI6W57,3,35,19,温水,早晨活跃,,0,29,,,,待人工审核,,,,,,,
红尾鲶鱼,Redtail Catfish,Phractocephalus Hemioliopterus,recvppgBfW0T9j,20,26,23,温水,夜间活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
裸狐鲣,Dogtooth Tuna,Gymnosarda Unicolor,recvppgBfWGhWa,20,28,24,暖水,全天活跃,reef-associated,0,250,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
鲤鱼,Common Carp,Cyprinus Carpio,recvppgBfXYM2N,3,35,19,广温,早晨活跃,benthopelagic,0,29,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,已修正,杂食性,Benthic Foraging|Target/Particulate,,,,Common Carp 为杂食性底栖觅食鱼；常吸食软底质并筛取昆虫幼虫、甲壳类、软体动物、植物、碎屑和浮游生物。不能按宏观捕食者/纯肉食鱼处理。
剑旗鱼,Swordfish,Xiphias Gladius,recvppgBfXBHiP,5,27,16,广温,全天活跃,pelagic-oceanic,0,2878,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
银斑鲫,Silver Mylossoma,Mylossoma duriventre,recvppgBfWI2gI,22,28,25,,早晨活跃,,,,,,,待人工审核,,,,,,,
虎纹鸭嘴鲇,Tiger Sorubim,Pseudoplatystoma Fasciatum,recvppgBfXMmcA,24,28,26,暖水,夜间活跃,demersal,5,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
海鲈鱼,Asian Seabasses,Lateolabrax Japonicus,recvppgBfXsGjb,17.4,27.4,22.4,,晨昏活跃,reef-associated,5,,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
高白鲑,Peled,Coregonus Peled,recvq6YNcISGAE,1,3,2,温水,晨昏活跃,demersal,5,11,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
河红马鱼,River Redhorse,Moxostoma Carinatum,recvppgBfXP20G,11,19,15,温水,早晨活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
日本竹荚鱼,Japanese Jack Mackerel,Trachurus Japonicus,recvppgBfWpZU3,10.8,16.8,13.8,,全天活跃,pelagic-neritic,0,275,滤食性,selective plankton feeding,海水,待人工审核,已修正,肉食性,Target/Particulate,,,,Japanese jack mackerel 摄食浮游甲壳类和小型游泳动物/鱼类，胃含物研究支持主动选择性捕食；planktivory 不等于 filter feeding。
四白锦鲤,Shiro Utsuri Koi,Cyprinus Carpio Var. Shiro Utsuri,recvq6YNcIG4C0,3,35,19,温水,早晨活跃,,0,29,,,,待人工审核,,,,,,,
南美肺鱼,South American Lungfish,Lepidosiren Paradoxa,recvppgBfWZ82p,24,28,26,暖水,夜间活跃,demersal,,,杂食性,variable,淡水,待人工审核,,,,,,,
枯叶鱼,Amazon Leaffish,Mentodus Facilis,recvppgBfXf19L,3.7,5.7,4.7,暖水,夜间活跃,bathypelagic,680,2000,,,海水,待人工审核,,,,,,,
黑带兔脂鲤,Black Banded Leporinus,Leporinus Nigrotaeniatus,recvppgBfXvrup,23,26,24.5,暖水,晨昏活跃,benthopelagic,,,,,淡水,待人工审核,,,,,,,
大西洋黄盖鲽,Yellowtail Flounder,Myzopsetta Ferruginea,recvq6YNcIVYyc,1.6,3.6,2.6,温水,全天活跃,demersal,27,364,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
美洲拟鲽,Winter Flounder,Pseudopleuronectes Americanus,recvq6YNcIVVJ6,4.1,8.1,6.1,温水,全天活跃,demersal,5,143,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
茅尖鱼,Pike cichlid,Crenicichla Lepidota,recvppgBfX7OU9,20,28,24,,全天活跃,,,,,,,待人工审核,,,,,,,
巨狼鱼,Giant Wolf Fish,Hoplias Aimara,recvppgBfWn7z0,20,32,26,,晨昏活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
常见拟鲤,Common Roach,Rutilus Rutilus,recvq6YNcIPlSr,10,20,15,温水,早晨活跃,benthopelagic,15,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
七彩神仙鱼（白）,White Discus,Symphysodon Aequifasciatus（White）,recvppgBfXT5MP,26,31,28.5,,早晨活跃,,,,,,,待人工审核,,,,,,,
地图鱼,Oscar,Astronotus Ocellatus,recvppgBfXwiS7,22,25,23.5,温水,全天活跃,benthopelagic,,,杂食性,variable,淡水,待人工审核,,,,,,,
镜鲤(白化),Albino Mirror Carp,Cyprinus Carpio Var. Specularis Albino,recvq6YNcI7b6Z,3,35,19,温水,早晨活跃,,0,29,,,,待人工审核,,,,,,,
草鱼,Grass Carp,Ctenopharyngodon Idella,recvppgBfXRQzH,0,35,17.5,,早晨活跃,benthopelagic,0,30,植食性,browsing on substrate,淡水|半咸水,待人工审核,已修正,植食性,Grazing|Target/Particulate,成鱼主要取食大型水生植物；幼鱼可有浮游动物食物，人工食物接受不等于野外主食。,河湖、水库中下层及有植物的区域；繁殖依流动水环境。,成鱼上溯繁殖；USGS Lake Erie 支流实例与高流量事件相关，不能外推固定全球月份。,草鱼随成长利用植物资源；MDC 池塘钓法使用局部预投食物及面包/玉米等钩饵。自然繁殖依赖流动水和水位条件；养殖资料的临产前少食只限亲鱼语境。
巴西马鲛,Serra Spanish Mackerel,Scomberomorus Brasiliensis,recvppgBfXSJIc,21.5,33.5,27.5,,全天活跃,reef-associated,,,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
双线无须鳕,Silver Hake,Merluccius Bilinearis,recvq6YNcImaX7,3.9,5.9,4.9,温水,全天活跃,demersal,55,914,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
真鲷,Red Seabream,Pagrus Major,recvppgBfX5bwk,16.8,26.8,21.8,,全天活跃,demersal,10,200,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
大眼金枪鱼,Bigeye Tuna,Thunnus Obesus,recvppgBfWPNfp,13,29,21,温水,全天活跃,pelagic-oceanic,0,1500,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
黄尾鰤,Yellowtail Amberjack,Seriola Lalandi,recvppgBfXnDVu,18,24,21,温水,全天活跃,benthopelagic,3,825,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,,,,,,,
长吻鲍氏脂鲤,Bicuda,Boulengerella Cuvieri,recvppgBfX8bBO,20,32,26,,晨昏活跃,pelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
红白锦鲤,Kohaku Koi,Cyprinus Carpio Var. Kohaku,recvq6YNcIg9E8,3,35,19,温水,早晨活跃,,0,29,,,,待人工审核,,,,,,,
湖拟鲤,Roach,Rutilus Rutilus,recvq6YNcIDhdP,10,20,15,温水,早晨活跃,benthopelagic,15,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
圆鳍鱼,Lumpfish,Cyclopterus Lumpus,recvq6YNcI9eWH,3,11,7,冷水,全天活跃,benthopelagic,0,868,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
太平洋蓝鳍金枪鱼,Pacific Bluefin Tuna,Thunnus Orientalis,recvppgBfWNMNH,19.3,29.3,24.3,,全天活跃,pelagic-oceanic,1,550,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,,,,,,,
红钩鱼,Redhook Myleus,Myloplus Rubripinnis,recvppgBfW3j5m,23,27,25,暖水,全天活跃,benthopelagic,,,植食性,other,淡水,待人工审核,,,,,,,
蓝笛鲷,Green Jobfish,Aprion Virescens,recvppgBfWzIq1,21.9,33.9,27.9,暖水,晨昏活跃,reef-associated,0,180,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
红尾梭鱼,Red Tail Barracuda,Acestrorhynchus Falcatus,recvppgBfWxHaa,20,32,26,,晨昏活跃,benthopelagic,,,肉食性,,淡水,待人工审核,,,,,,,
闪光鲟,Stellate Sturgeon,Acipenser Stellatus,recvq6YNcIYa1y,10,20,15,温水,晨昏活跃,demersal,10,100,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
花鮨,Grouper,Anthias Anthias,recvq6YNcIFUlE,16,22,19,温水,全天活跃,reef-associated,30,358,肉食性,,海水,待人工审核,,,,,,,
花羔红点鲑,Dolly Varden Trout,Salvelinus Malma,recvppgBfWqiDJ,4,16,10,,全天活跃,,,,,,,待人工审核,,,,,,,
细纹鲶鱼,Pencil Catfish,Trichomycterus striatus,recvppgBfWexpp,22,28,25,,晨昏活跃,,,,,,,待人工审核,,,,,,,
高体鰤,Greater Amberjack,Seriola Dumerili,recvppgBfWJdYf,21.1,33.1,27.1,暖水,全天活跃,reef-associated,1,385,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
白化草鱼,Albino Grass Carp,Ctenopharyngodon Idella Var. Albino,recvq6YNcIDFIR,0,35,17.5,温水,早晨活跃,,0,30,,,,待人工审核,,,,,,,
单鳍多线鱼,Atka Mackerel,Pleurogrammus Monopterygius,recvppgBfXdtR2,2.7,4.7,3.7,,全天活跃,demersal,0,720,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
赤梢鱼,Redfin Perch,Perca Fluviatilis,recvq6YNcIRQxj,10,22,16,温水,晨昏活跃,demersal,1,30,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
电鳗,Electric Eel,Electrophorus Electricus,recvppgBfWMdML,23,28,25.5,暖水,夜间活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
无鳞鲤,Leather Carp,Cyprinus Carpio Var. Nudus,recvq6YNcITwbq,3,35,19,广温,早晨活跃,benthopelagic,0,29,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
圆点五色锦鲤,Goromo Koi,Cyprinus Carpio Var. Goromo,recvq6YNcIY1d7,3,35,19,温水,早晨活跃,,0,29,,,,待人工审核,,,,,,,
奥里诺科孔雀鲈,Orinoco Peacock Bass,Cichla Orinocensis,recvppgBfWhk4q,27,29,28,暖水,全天活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
长鳍金枪鱼,Albacore,Thunnus Alalunga,recvppgBfWLGuZ,9.5,25.2,17.35,温水,全天活跃,pelagic-oceanic,0,600,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
莱氏拟乌贼,Bigfin Reef Squid,Sepioteuthis Lessoniana,recvppgBfWgFkW,18,28,23,,晨昏活跃,demersal,,100,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,,,,,,,
白斑角鲨,Spiny Dogfish,Squalus Acanthias,recvq6YNcIPNI7,7,15,11,冷水,全天活跃,bathydemersal,0,1978,肉食性,hunting macrofauna (predator),半咸水|海水,待人工审核,,,,,,,
大西洋小鳕,Atlantic Tomcod,Microgadus Tomcod,recvq6YNcINPp9,4.4,8.4,6.4,冷水,全天活跃,demersal,0,69,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
康氏马鲛,Narrow Barred Spanish Mackerel,Scomberomorus Commerson,recvppgBfWX9xq,22,34,28,,全天活跃,pelagic-neritic,10,70,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
大西洋黄貂鱼,Atlantic Stingray,Hypanus Sabinus,recvppgBfXlWfN,19.5,31.5,25.5,,夜间活跃,demersal,2,25,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
条石鲷,Rock Bream,Oplegnathus Fasciatus,recvppgBfXVjAB,17,27,22,,全天活跃,reef-associated,1,10,肉食性,hunting macrofauna (predator),海水,待人工审核,,,,,,,
橙黄金锦鲤,Ogon Koi,Cyprinus Carpio Var. Ogon,recvq6YNcIwE4Z,3,35,19,温水,早晨活跃,,0,29,,,,待人工审核,,,,,,,
红鲑鱼,Sockeye Salmon,Oncorhynchus Nerka,recvppgBfWESvH,0,24.9,12.45,,晨昏活跃,pelagic-oceanic,0,250,滤食性,selective plankton feeding,淡水|半咸水|海水,待人工审核,需补资料,肉食性,,浮游动物为重要食物，海洋阶段也可摄食其他动物。,湖泊育幼、海洋生长、回归繁殖；也存在陆封 kokanee。,回归挖巢产卵，产后死亡；太平洋鲑资料描述回归期停食。,浮游动物为重要食物，ADFG 明确描述鳃耙滤食；kokanee 研究提示严格滤食解释存在年龄限制，尚不能据此认定全种或全部阶段只采用同一摄食机制。
大西洋鲑鱼,Atlantic Salmon,Salmo Salar,recvppgBfWIkMz,2,9,5.5,冷水,晨昏活跃,benthopelagic,0,210,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,已复核-无问题,肉食性,Target/Particulate,幼鱼以无脊椎为主，海洋生长期摄食鱼等动物。,海河迁移，回归砾床繁殖；须注明海迁型的范围。,不同于太平洋鲑的一概产后死亡叙述，可重复繁殖。,幼鱼以无脊椎为主，海洋生长期摄食鱼等动物。 生长期取食离散动物；繁殖迁移期不摄食的描述不能外推全龄。
巨骨舌鱼,Arapaima Gigas,Arapaima Gigas,recvppgBfW1Luy,25,29,27,暖水,晨昏活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
月眼鱼,Mooneye,Hiodon Tergisus,recvppgBfWgb7F,11,19,15,温水,夜间活跃,pelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
黑棘鲶,Ripsaw Catfish,Oxydoras niger,recvppgBfWU8bO,18,30,24,,晨昏活跃,,,,,,,待人工审核,,,,,,,
黑食人鱼,Black Piranha,Serrasalmus Rhombeus,recvppgBfWvmPa,23,27,25,暖水,全天活跃,benthopelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
浅滩鲈鱼,Shoal Bass,Micropterus Cataractae,recvppgBfWzydo,17,27,22,温水,晨昏活跃,benthopelagic,,,,,淡水,待人工审核,,,,,,,
北极茴鱼,Arctic Grayling,Thymallus Arcticus,recvppgBfWXHhq,11,19,15,温水,晨昏活跃,benthopelagic,30,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
大西洋大海鲢,Atlantic Tarpon,Megalops Atlanticus,recvppgBfWRGAb,10,40,25,广温,晨昏活跃,reef-associated,0,40,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
帝王鲑,Chinook Salmon,Oncorhynchus Tshawytscha,recvppgBfWATct,0,24.9,12.45,冷水,晨昏活跃,benthopelagic,0,375,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
红腹食人鱼,Red-bellied Piranha,Pygocentrus Nattereri,recvppgBfWOU62,23,27,25,暖水,全天活跃,pelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
接吻鲷,Kissing Prochilodus,Helostoma Temminckii,recvppgBfWSg8p,22,28,25,暖水,全天活跃,benthopelagic,2,,杂食性,,淡水,待人工审核,,,,,,,
北极红点鲑,Arctic Char,Salvelinus Alpinus,recvppgBfWSvl3,4,16,10,冷水,晨昏活跃,benthopelagic,0,70,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
大理石倒立鱼,Marbled Headstander,Abramites Hypselonotus,recvppgBfW1t3o,23,27,25,暖水,晨昏活跃,pelagic,,,肉食性,hunting macrofauna (predator),淡水,待人工审核,,,,,,,
大马哈鱼,Chum Salmon,Oncorhynchus Keta,recvppgBfWQu7g,0,23.7,11.85,冷水,晨昏活跃,benthopelagic,0,250,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
梅花鲈,Ruffe,Gymnocephalus Cernua,recvppgBfWEHew,10,20,15,温水,晨昏活跃,benthopelagic,2,85,杂食性,variable,淡水|半咸水,待人工审核,,,,,,,
眼斑河魟,Ocellate River Stingray,Potamotrygon Motoro,recvppgBfWkV00,24,26,25,暖水,夜间活跃,benthopelagic,,,,,淡水,待人工审核,,,,,,,
粉鲑,Pink Salmon,Oncorhynchus Gorbuscha,recvppgBfWSJ8t,2.3,4.3,3.3,冷水,晨昏活跃,demersal,0,250,肉食性,hunting macrofauna (predator),淡水|半咸水|海水,待人工审核,,,,,,,
米达斯慈鲷,Midas Cichlid,Amphilophus Citrinellus,recvppgBfWmpBb,23,33,28,暖水,全天活跃,benthopelagic,,,肉食性,,淡水,待人工审核,,,,,,,
白鲶鱼,White Catfish,Ameiurus Catus,recvppgBfWE1If,17,27,22,温水,夜间活跃,demersal,,,肉食性,hunting macrofauna (predator),淡水|半咸水,待人工审核,,,,,,,
